Level,Date,Source,ID,Task
Information,4/8/2022 11:10:27 AM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Battery"
Information,4/8/2022 11:10:26 AM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2022‎-‎04‎-‎08T18:10:26.379687200Z from ‎2022‎-‎04‎-‎08T18:10:26.378992600Z.

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume2\Windows\System32\svchost.exe' (PID 3804)."
Information,4/8/2022 11:10:26 AM,Microsoft-Windows-Kernel-General,24,(11),The time zone information was refreshed with exit reason 0. Current time zone bias is 420.
Information,4/8/2022 11:10:18 AM,Microsoft-Windows-Kernel-Power,524,(223),Critical Battery Trigger Met
Information,4/8/2022 10:51:56 AM,Microsoft-Windows-Time-Service,37,None,"The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->40.81.94.65:123)."
Information,4/8/2022 10:40:21 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Packages\Microsoft.YourPhone_8wekyb3d8bbwe\S-1-5-21-59471354-1410144394-4117892861-1002\SystemAppData\Helium\Cache\83ce17092463840c_COM15.dat was cleared updating 1 keys and creating 1 modified pages.
Information,4/8/2022 10:40:21 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Hp\AppData\Local\Packages\Microsoft.YourPhone_8wekyb3d8bbwe\SystemAppData\Helium\UserClasses.dat was cleared updating 1 keys and creating 1 modified pages.
Information,4/8/2022 10:40:21 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Hp\AppData\Local\Packages\Microsoft.YourPhone_8wekyb3d8bbwe\SystemAppData\Helium\User.dat was cleared updating 1 keys and creating 1 modified pages.
Information,4/8/2022 9:48:00 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,4/8/2022 9:45:16 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,4/8/2022 9:27:55 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,4/8/2022 9:25:48 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Warning,4/8/2022 9:25:45 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,4/8/2022 9:25:45 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,4/8/2022 9:25:43 AM,Microsoft-Windows-Power-Troubleshooter,1,None,"The system has returned from a low power state.

Sleep Time: ‎2022‎-‎04‎-‎08T12:06:34.060346700Z
Wake Time: ‎2022‎-‎04‎-‎08T16:25:41.954486000Z

Wake Source: Unknown"
Information,4/8/2022 9:25:42 AM,Microsoft-Windows-Winlogon,7001,(1101),User Logon Notification for Customer Experience Improvement Program
Warning,4/8/2022 9:25:41 AM,BTHUSB,34,None,"The local adapter does not support an important Low Energy controller state to support peripheral mode.  The minimum required supported state mask is 0x2491f7fffff, got 0x1fffffff.  Low Energy peripheral role functionality will not be available."
Information,4/8/2022 9:25:41 AM,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Information,4/8/2022 9:25:40 AM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2022‎-‎04‎-‎08T16:25:40.683214800Z from ‎2022‎-‎04‎-‎08T16:25:40.671065200Z.

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume2\Windows\System32\svchost.exe' (PID 3804)."
Information,4/8/2022 9:25:40 AM,Microsoft-Windows-Kernel-General,24,(11),The time zone information was refreshed with exit reason 0. Current time zone bias is 420.
Information,4/8/2022 9:25:40 AM,Microsoft-Windows-Kernel-Boot,32,(58),The bootmgr spent 0 ms waiting for user input.
Information,4/8/2022 9:25:40 AM,Microsoft-Windows-Kernel-Boot,18,(57),There are 0x1 boot options on this system.
Information,4/8/2022 9:25:40 AM,Microsoft-Windows-Kernel-Boot,27,(33),The boot type was 0x1.
Information,4/8/2022 9:25:40 AM,Microsoft-Windows-Kernel-Boot,25,(32),The boot menu policy was 0x1.
Information,4/8/2022 9:25:40 AM,Microsoft-Windows-Kernel-Boot,30,(21),The firmware reported boot metrics.
Information,4/8/2022 9:25:38 AM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2022‎-‎04‎-‎08T16:25:38.500000000Z from ‎2022‎-‎04‎-‎08T12:06:39.772280800Z.

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4)."
Information,4/8/2022 5:06:39 AM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,4/8/2022 5:06:37 AM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Application API"
Information,4/8/2022 5:06:34 AM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2022‎-‎04‎-‎08T12:06:34.263474500Z from ‎2022‎-‎04‎-‎08T12:06:34.253926000Z.

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume2\Windows\System32\svchost.exe' (PID 3804)."
Information,4/8/2022 5:06:34 AM,Microsoft-Windows-Kernel-General,24,(11),The time zone information was refreshed with exit reason 0. Current time zone bias is 420.
Information,4/8/2022 5:06:34 AM,Microsoft-Windows-Kernel-Power,187,(243),User-mode process attempted to change the system state by calling SetSuspendState or SetSystemPowerState APIs.
Information,4/8/2022 5:06:33 AM,Microsoft-Windows-Winlogon,7002,(1102),User Logoff Notification for Customer Experience Improvement Program
Warning,4/8/2022 4:14:15 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name client.wns.windows.com timed out after none of the configured DNS servers responded.
Warning,4/8/2022 4:08:39 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name kv801.prod.do.dsp.mp.microsoft.com timed out after none of the configured DNS servers responded.
Warning,4/8/2022 4:08:21 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name www.google.com timed out after none of the configured DNS servers responded.
Warning,4/8/2022 4:07:20 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name spclient.wg.spotify.com timed out after none of the configured DNS servers responded.
Information,4/8/2022 4:05:07 AM,Microsoft-Windows-Kernel-Power,105,(100),Power source change.
Warning,4/8/2022 3:52:21 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name ctldl.windowsupdate.com timed out after none of the configured DNS servers responded.
Information,4/8/2022 3:44:17 AM,NETwNb64,7001,None,"The description for Event ID 7001 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP143
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Information,4/8/2022 3:44:17 AM,NETwNb64,7001,None,"The description for Event ID 7001 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP143
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Information,4/8/2022 3:44:17 AM,NETwNb64,7036,None,The \Device\NDMP143 service entered the Intel(R) Dual Band Wireless-AC 7260 state.
Information,4/8/2022 3:44:16 AM,NETwNb64,8000,None,"The description for Event ID 8000 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP140
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Warning,4/8/2022 3:44:10 AM,Microsoft-Windows-WLAN-AutoConfig,4003,None,"WLAN AutoConfig detected limited connectivity, attempting automatic recovery.

Recovery Type: 4
Error Code: 0x0
Trigger Reason: 7
IP Family: 0
"
Warning,4/8/2022 3:44:02 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name play.google.com timed out after none of the configured DNS servers responded.
Information,4/8/2022 3:30:44 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,4/8/2022 3:28:32 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,4/8/2022 3:21:22 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,4/8/2022 3:20:15 AM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9NFFX4SZZ23L-Microsoft.549981C3F5F10
Information,4/8/2022 3:20:14 AM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9NFFX4SZZ23L-Microsoft.549981C3F5F10
Information,4/8/2022 3:20:14 AM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9WZDNCRDTBJJ-MICROSOFT.GETSTARTED
Information,4/8/2022 3:20:12 AM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9WZDNCRDTBJJ-MICROSOFT.GETSTARTED
Information,4/8/2022 3:20:10 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.549981C3F5F10_4.2203.4603.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information,4/8/2022 3:20:09 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Getstarted_10.2203.10.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information,4/8/2022 3:20:03 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Hp\AppData\Local\Packages\windows.printdialog_cw5n1h2txyewy\Settings\settings.dat was cleared updating 2 keys and creating 1 modified pages.
Information,4/8/2022 3:20:03 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Hp\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\Settings\settings.dat was cleared updating 2 keys and creating 1 modified pages.
Information,4/8/2022 3:20:03 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Hp\AppData\Local\Packages\windows.cbspreview_cw5n1h2txyewy\Settings\settings.dat was cleared updating 2 keys and creating 1 modified pages.
Information,4/8/2022 3:20:03 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Hp\AppData\Local\Packages\spotifyab.spotifymusic_zpdnekdrzrea0\Settings\settings.dat was cleared updating 2 keys and creating 1 modified pages.
