Level,Date,Source,ID,Task
Warning,4/12/2022 9:26:56 AM,Microsoft-Windows-Time-Service,134,None,"NtpClient was unable to set a manual peer to use as a time source because of DNS resolution error on 'time.windows.com,0x9'. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: No such host is known. (0x80072AF9)"
Warning,4/12/2022 9:26:56 AM,BTHUSB,34,None,"The local adapter does not support an important Low Energy controller state to support peripheral mode.  The minimum required supported state mask is 0x2491f7fffff, got 0x1fffffff.  Low Energy peripheral role functionality will not be available."
Information,4/12/2022 9:26:55 AM,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Information,4/12/2022 9:26:55 AM,Microsoft-Windows-Kernel-Boot,32,(58),The bootmgr spent 0 ms waiting for user input.
Information,4/12/2022 9:26:55 AM,Microsoft-Windows-Kernel-Boot,18,(57),There are 0x1 boot options on this system.
Information,4/12/2022 9:26:55 AM,Microsoft-Windows-Kernel-Boot,27,(33),The boot type was 0x1.
Information,4/12/2022 9:26:55 AM,Microsoft-Windows-Kernel-Boot,25,(32),The boot menu policy was 0x1.
Information,4/12/2022 9:26:55 AM,Microsoft-Windows-Kernel-Boot,30,(21),The firmware reported boot metrics.
Warning,4/12/2022 9:26:55 AM,Microsoft-Windows-Time-Service,134,None,"NtpClient was unable to set a manual peer to use as a time source because of DNS resolution error on 'time.windows.com,0x9'. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: No such host is known. (0x80072AF9)"
Information,4/12/2022 9:26:53 AM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2022‎-‎04‎-‎12T16:26:53.500000000Z from ‎2022‎-‎04‎-‎10T17:58:18.557570000Z.

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4)."
Information,4/12/2022 9:26:54 AM,EventLog,6013,None,The system uptime is 2538751 seconds.
Information,4/10/2022 10:58:18 AM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,4/10/2022 10:58:15 AM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Application API"
Information,4/10/2022 10:58:12 AM,Microsoft-Windows-Kernel-Power,187,(243),User-mode process attempted to change the system state by calling SetSuspendState or SetSystemPowerState APIs.
Information,4/10/2022 10:58:11 AM,Microsoft-Windows-Winlogon,7002,(1102),User Logoff Notification for Customer Experience Improvement Program
Information,4/10/2022 10:58:11 AM,Microsoft-Windows-Kernel-Power,105,(100),Power source change.
Information,4/10/2022 10:29:21 AM,NETwNb64,7001,None,"The description for Event ID 7001 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP146
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Information,4/10/2022 10:29:21 AM,NETwNb64,7001,None,"The description for Event ID 7001 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP146
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Information,4/10/2022 10:29:21 AM,NETwNb64,7036,None,The \Device\NDMP146 service entered the Intel(R) Dual Band Wireless-AC 7260 state.
Information,4/10/2022 10:29:20 AM,NETwNb64,8000,None,"The description for Event ID 8000 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP143
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Warning,4/10/2022 10:29:20 AM,Microsoft-Windows-WLAN-AutoConfig,4003,None,"WLAN AutoConfig detected limited connectivity, attempting automatic recovery.

Recovery Type: 4
Error Code: 0x0
Trigger Reason: 7
IP Family: 0
"
Information,4/10/2022 10:10:24 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Packages\Microsoft.SkypeApp_kzf8qxf38zg5c\S-1-5-21-59471354-1410144394-4117892861-1002\SystemAppData\Helium\Cache\808ff99b56c0604c_COM15.dat was cleared updating 1 keys and creating 1 modified pages.
Information,4/10/2022 10:10:24 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Hp\AppData\Local\Packages\Microsoft.SkypeApp_kzf8qxf38zg5c\SystemAppData\Helium\UserClasses.dat was cleared updating 2 keys and creating 1 modified pages.
